掌权人,排名,排名变化,财富值_人民币_亿,财富值_美元,财富值变化,人物关系,公司名称_中文,公司名称_英文,公司总部地_中文,公司总部地_英文,所在行业_中文,所在行业_英文,性别,年龄,出生地_中文,籍贯_中文,常住地_中文,学历_中文,毕业院校_中文,毕业院校_英文,专业_中文,专业_英文
张一鸣,1,4,3500.0,49300.0,43%,未知,字节跳动,ByteDance,北京,Beijing,社交媒体,Social Media,先生,41,中国-福建-龙岩,,中国-北京,本科,南开,南开大学,,
钟睒睒,2,-1,3400.0,47900.0,-24%,未知,养生堂,YST,浙江杭州,Zhejiang,饮料、医疗保健,"Drinks, Pharmaceuticals",先生,70,中国-浙江-绍兴,,中国-浙江-杭州,,,,,
马化腾,3,-1,3150.0,44400.0,13%,未知,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,先生,53,中国-海南,中国-广东-汕头,中国-广东-深圳,本科,深圳大学,深圳大学计算机与软件学院,Shenzhen University,冶金系金相专业
黄峥,4,-1,2450.0,34500.0,-9%,未知,拼多多,Pinduoduo,上海长宁,Shanghai,购物网站,E-Commerce,先生,44,中国-浙江-杭州,中国-浙江-杭州,中国-上海,硕士,浙大、威斯康星大学,威斯康星大学麦迪逊分校,,
何享健,5,3,2350.0,33100.0,18%,家族,美的,Midea,广东佛山,Guangdong,家电制造,Household Appliances,先生,82,中国-广东-佛山,中国-广东-佛山,中国-广东-佛山,,,,,
曾毓群,6,-2,2000.0,28200.0,-20%,未知,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery Technology,先生,56,中国-福建-宁德,,中国-福建-宁德,博士,上交大、中科院,,,
丁磊,6,0,2000.0,28200.0,-17%,未知,网易,Netease,浙江杭州,Zhejiang,互联网技术,Internet Services,先生,53,中国-浙江-宁波,中国-浙江-宁波,中国-浙江-杭州,本科,电子科技,电子科技大学,,
李嘉诚、李泽钜,6,1,2000.0,28200.0,-5%,父子,长江实业,Cheung Kong,香港,Hong Kong,投资,Investments,先生,96,中国-香港,中国-广东-潮州,中国-香港,,,,,
李兆基,9,2,1750.0,24600.0,9%,家族,恒基兆业,Henderson Land,香港,Hong Kong,房地产,Estate Holding,先生,96,中国-广东-佛山,中国-广东-佛山,中国-香港,,,,,
马云,10,0,1650.0,23200.0,-3%,家族,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-Commerce, Fintech",先生,60,中国-浙江-杭州,中国-浙江-绍兴,中国-浙江-杭州,本科,杭州师范学院,杭州师范学院,Hangzhou Normal University,英语专业
李书福,11,-2,1450.0,20400.0,-17%,家族,吉利,Geely,浙江杭州,Zhejiang,汽车制造,Car Manufacturing,先生,61,中国-浙江-台州,中国-浙江-台州,中国-浙江-杭州,博士,哈工大、燕山、哈工大,哈尔滨工业大学,,
严昊,11,1,1450.0,20400.0,-3%,未知,太平洋建设,China Pacific Construction,新疆乌鲁木齐,Xinjiang,基础建设,Roads,先生,38,中国-江苏-淮安,中国-江苏-淮安,中国-江苏-南京,本科,南京师范大学,,,
张刚,11,5,1450.0,20400.0,7%,家族,信发铝电,Xinfalyudian,山东聊城,Shandong,电解铝、氧化铝,Aluminum,先生,43,中国-山东-聊城,中国-山东-聊城,中国-山东-聊城,硕士,西北工业、澳大利亚中央昆士兰大学,,,
李蔡美灵,14,0,1400.0,19700.0,0%,家族,李锦记,Lee Kun Kee,香港,Hong Kong,调味品,Food Processing,先生,未知,中国-香港,中国-香港,中国-香港,,,,,
吕向阳、张长虹,14,0,1400.0,19700.0,0%,夫妇,融捷,Youngy,广东广州,Guangdong,投资,Investments,先生,61,中国-安徽-芜湖,中国-安徽-芜湖,中国-广东-广州,,,,,
秦英林、钱瑛,16,-3,1350.0,19000.0,-7%,夫妇,牧原,Muyuan,河南南阳,Henan,畜牧,Pig Farming,先生,59,中国-河南-南阳,中国-河南-南阳,中国-河南-南阳,本科,河南农业大学,河南农业大学,,
王传福,16,0,1350.0,19000.0,0%,未知,比亚迪,BYD,广东深圳,Guangdong,汽车、充电电池,"Automobile, New Energy",先生,58,中国-安徽-芜湖,中国-安徽-芜湖,中国-广东-深圳,本科,中南,中南大学,,
赵长鹏,16,81,1350.0,19000.0,200%,未知,币安,Binance,美国,USA,虚拟货币交易所,Blockchain,先生,47,中国-江苏-连云港,,阿联酋迪拜,本科,麦吉尔大学,,,
雷军,19,15,1300.0,18300.0,38%,未知,小米,Xiaomi,北京,Beijing,智能硬件与技术、投资,"IoT, Investments",先生,55,中国-湖北-仙桃,中国-湖北-仙桃,中国-北京,本科,武大,武汉大学,,
陈建华、范红卫,20,0,1250.0,17600.0,0%,夫妇,恒力,Hengli,江苏苏州,Jiangsu,化纤、石化、房地产,"Textiles, Chemical Fiber, Real Estate",先生,53,中国-江苏-苏州,中国-江苏-苏州,中国-江苏-苏州,硕士,南京师范,,,
张志东,20,6,1250.0,17600.0,14%,未知,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,先生,52,中国-广东-东莞,中国-广东-东莞,中国-广东-深圳,硕士,深圳、华南理工,华南理工大学,,
刘永行、刘相宇,22,-4,1200.0,16900.0,-8%,父子,东方希望,East Hope,上海浦东,Shanghai,氧化铝、重化工、饲料,"Aluminium, Feed",先生,76,中国-四川-成都,,中国-上海,博士,西华、恒生国际、美国波士顿,西华大学,,
王卫,23,-3,1100.0,15500.0,-12%,未知,顺丰,SF,广东深圳,Guangdong,快递,Express Delivery,先生,54,中国-上海,中国-广东-河源,中国-香港,,,,,
魏建军、韩雪娟,23,1,1100.0,15500.0,-8%,夫妇,长城,Great Wall Motor,河北保定,Hebei,汽车制造,Automobile,先生,60,中国-河北-保定,中国-河北-保定,中国-河北-保定,,,,,
郑淑良,23,15,1100.0,15500.0,31%,家族,魏桥创业,Weiqiao Pioneering,山东滨州,Shandong,铝业、纺织,"Aluminum, Textiles",先生,78,中国-山东,中国-山东-滨州,中国-山东-滨州,,,,,
李西廷,26,1,1000.0,14100.0,0%,未知,迈瑞,Mindray,广东深圳,Guangdong,医疗器械,Pharmaceuticals,先生,73,中国-安徽-宿州,中国-安徽-宿州,新加坡,本科,中科大,中国科技大学,,
