,日期,最高气温(℃),年份,月份
0,2025-01-01,4,2025,1
1,2025-01-02,0,2025,1
2,2025-01-03,2,2025,1
3,2025-01-04,6,2025,1
4,2025-01-05,5,2025,1
5,2025-01-06,-1,2025,1
6,2025-01-07,0,2025,1
7,2025-01-08,-5,2025,1
8,2025-01-09,-5,2025,1
9,2025-01-10,-4,2025,1
10,2025-01-11,1,2025,1
11,2025-01-12,1,2025,1
12,2025-01-13,4,2025,1
13,2025-01-14,0,2025,1
14,2025-01-15,2,2025,1
15,2025-01-16,4,2025,1
16,2025-01-17,7,2025,1
17,2025-01-18,7,2025,1
18,2025-01-19,5,2025,1
19,2025-01-20,7,2025,1
20,2025-01-21,5,2025,1
21,2025-01-22,4,2025,1
22,2025-01-23,5,2025,1
23,2025-01-24,6,2025,1
24,2025-01-25,4,2025,1
25,2025-01-26,3,2025,1
26,2025-01-27,-5,2025,1
27,2025-01-28,-6,2025,1
28,2025-01-29,-5,2025,1
29,2025-01-30,-4,2025,1
30,2025-01-31,-2,2025,1
31,2025-02-01,-2,2025,2
32,2025-02-02,0,2025,2
33,2025-02-03,-6,2025,2
34,2025-02-04,-6,2025,2
35,2025-02-05,-1,2025,2
36,2025-02-06,0,2025,2
37,2025-02-07,-6,2025,2
38,2025-02-08,-5,2025,2
39,2025-02-09,0,2025,2
40,2025-02-10,5,2025,2
41,2025-02-11,7,2025,2
42,2025-02-12,1,2025,2
43,2025-02-13,7,2025,2
44,2025-02-14,9,2025,2
45,2025-02-15,10,2025,2
46,2025-02-16,3,2025,2
47,2025-02-17,1,2025,2
48,2025-02-18,1,2025,2
49,2025-02-19,0,2025,2
50,2025-02-20,0,2025,2
51,2025-02-21,-1,2025,2
52,2025-02-22,-1,2025,2
53,2025-02-23,0,2025,2
54,2025-02-24,7,2025,2
55,2025-02-25,7,2025,2
56,2025-02-26,10,2025,2
57,2025-02-27,12,2025,2
58,2025-02-28,13,2025,2
59,2025-03-01,8,2025,3
60,2025-03-02,5,2025,3
61,2025-03-03,4,2025,3
62,2025-03-04,3,2025,3
63,2025-03-05,7,2025,3
64,2025-03-06,5,2025,3
65,2025-03-07,7,2025,3
66,2025-03-08,9,2025,3
67,2025-03-09,10,2025,3
68,2025-03-10,11,2025,3
69,2025-03-11,12,2025,3
70,2025-03-12,15,2025,3
71,2025-03-13,11,2025,3
72,2025-03-14,11,2025,3
73,2025-03-15,10,2025,3
74,2025-03-16,4,2025,3
75,2025-03-17,5,2025,3
76,2025-03-18,6,2025,3
77,2025-03-19,12,2025,3
78,2025-03-20,16,2025,3
79,2025-03-21,21,2025,3
80,2025-03-22,24,2025,3
81,2025-03-23,23,2025,3
82,2025-03-24,15,2025,3
83,2025-03-25,17,2025,3
84,2025-03-26,12,2025,3
85,2025-03-27,8,2025,3
86,2025-03-28,8,2025,3
87,2025-03-29,7,2025,3
88,2025-03-30,8,2025,3
89,2025-03-31,15,2025,3
90,2025-04-01,15,2025,4
91,2025-04-02,12,2025,4
92,2025-04-03,14,2025,4
93,2025-04-04,14,2025,4
94,2025-04-05,15,2025,4
95,2025-04-06,18,2025,4
96,2025-04-07,18,2025,4
97,2025-04-08,18,2025,4
98,2025-04-09,12,2025,4
99,2025-04-10,17,2025,4
100,2025-04-11,16,2025,4
101,2025-04-12,13,2025,4
102,2025-04-13,9,2025,4
103,2025-04-14,12,2025,4
104,2025-04-15,17,2025,4
105,2025-04-16,14,2025,4
106,2025-04-17,16,2025,4
107,2025-04-18,16,2025,4
108,2025-04-19,16,2025,4
109,2025-04-20,17,2025,4
110,2025-04-21,16,2025,4
111,2025-04-22,19,2025,4
112,2025-04-23,20,2025,4
113,2025-04-24,17,2025,4
114,2025-04-25,19,2025,4
115,2025-04-26,22,2025,4
116,2025-04-27,16,2025,4
117,2025-04-28,19,2025,4
118,2025-04-29,22,2025,4
119,2025-04-30,22,2025,4
120,2025-05-01,18,2025,5
121,2025-05-02,16,2025,5
122,2025-05-03,18,2025,5
123,2025-05-04,20,2025,5
124,2025-05-05,17,2025,5
125,2025-05-06,17,2025,5
126,2025-05-07,17,2025,5
127,2025-05-08,17,2025,5
128,2025-05-09,15,2025,5
129,2025-05-10,19,2025,5
130,2025-05-11,22,2025,5
131,2025-05-12,21,2025,5
132,2025-05-13,24,2025,5
133,2025-05-14,22,2025,5
134,2025-05-15,22,2025,5
135,2025-05-16,16,2025,5
136,2025-05-17,19,2025,5
137,2025-05-18,21,2025,5
138,2025-05-19,23,2025,5
139,2025-05-20,20,2025,5
140,2025-05-21,23,2025,5
141,2025-05-22,25,2025,5
142,2025-05-23,21,2025,5
143,2025-05-24,23,2025,5
144,2025-05-25,24,2025,5
145,2025-05-26,23,2025,5
146,2025-05-27,20,2025,5
147,2025-05-28,23,2025,5
