,日期,白天天气,夜间天气,最高气温(℃),最低气温(℃),白天风力(级),夜间风力(级),年份,月份
0,2022-01-01,多云,多云,7,-7,5-6,5-6,2022,1
1,2022-01-02,晴,多云,0,-7,3-4,3-4,2022,1
2,2022-01-03,多云,晴,4,-6,4-5,4-5,2022,1
3,2022-01-04,晴,多云,0,-5,3-4,3-4,2022,1
4,2022-01-05,多云,晴,1,-4,4-5,4-5,2022,1
5,2022-01-06,晴,晴,0,-5,4-5,4-5,2022,1
6,2022-01-07,晴,晴,5,-3,4-5,4-5,2022,1
7,2022-01-08,晴,晴,4,-5,4-5,4-5,2022,1
8,2022-01-09,多云,多云,0,-5,3-4,3-4,2022,1
9,2022-01-10,阴,晴,-2,-8,4-5,4-5,2022,1
10,2022-01-11,晴,多云,-5,-9,4-5,4-5,2022,1
11,2022-01-12,小到中雪,多云,-1,-7,4-5,4-5,2022,1
12,2022-01-13,晴,晴,-2,-7,4-5,4-5,2022,1
13,2022-01-14,晴,多云,4,-3,4-5,4-5,2022,1
14,2022-01-15,多云,晴,4,-7,4-5,4-5,2022,1
15,2022-01-16,晴,晴,-1,-8,3-4,3-4,2022,1
16,2022-01-17,晴,晴,-1,-8,4-5,4-5,2022,1
17,2022-01-18,多云,小雪,2,-7,4-5,4-5,2022,1
18,2022-01-19,多云,晴,-7,-12,5-6,5-6,2022,1
19,2022-01-20,晴,晴,-5,-11,4-5,4-5,2022,1
20,2022-01-21,多云,小雪,-2,-8,3-4,3-4,2022,1
21,2022-01-22,小雪,多云,0,-6,4-5,4-5,2022,1
22,2022-01-23,晴,晴,-2,-6,4-5,4-5,2022,1
23,2022-01-24,多云,多云,-2,-6,4-5,4-5,2022,1
24,2022-01-25,多云,晴,2,-6,4-5,4-5,2022,1
25,2022-01-26,多云,多云,-1,-5,4-5,4-5,2022,1
26,2022-01-27,晴,多云,-2,-5,3-4,3-4,2022,1
27,2022-01-28,晴,晴,-2,-6,3-4,3-4,2022,1
28,2022-01-29,晴,晴,-1,-6,3-4,3-4,2022,1
29,2022-01-30,晴,多云,3,-3,4-5,4-5,2022,1
30,2022-01-31,小雪,多云,3,-6,4-5,4-5,2022,1
31,2022-02-01,晴,晴,-3,-6,4-5,4-5,2022,2
32,2022-02-02,晴,晴,0,-5,3-4,3-4,2022,2
33,2022-02-03,晴,晴,1,-7,3-4,3-4,2022,2
34,2022-02-04,多云,晴,-4,-9,4-5,4-5,2022,2
35,2022-02-05,晴,晴,0,-6,4-5,4-5,2022,2
36,2022-02-06,晴,多云,0,-3,4-5,4-5,2022,2
37,2022-02-07,多云,晴,3,-3,3-4,3-4,2022,2
38,2022-02-08,晴,晴,5,-1,3-4,3-4,2022,2
39,2022-02-09,晴,晴,7,1,3-4,3-4,2022,2
40,2022-02-10,晴,晴,8,1,3-4,3-4,2022,2
41,2022-02-11,晴,晴,7,-2,4-5,4-5,2022,2
42,2022-02-12,多云,阴,2,-4,4-5,4-5,2022,2
43,2022-02-13,阴,小到中雪,2,-6,4-5,4-5,2022,2
44,2022-02-14,阵雪,晴,-5,-9,4-5,4-5,2022,2
45,2022-02-15,多云,多云,-7,-9,4-5,4-5,2022,2
46,2022-02-16,多云,晴,-6,-9,4-5,4-5,2022,2
47,2022-02-17,晴,多云,-2,-8,3-4,3-4,2022,2
48,2022-02-18,阴,多云,2,-6,4-5,4-5,2022,2
49,2022-02-19,晴,晴,-4,-7,4-5,4-5,2022,2
50,2022-02-20,晴,晴,1,-7,4-5,4-5,2022,2
51,2022-02-21,晴,小雪,-2,-6,4-5,4-5,2022,2
52,2022-02-22,晴,晴,-2,-7,4-5,4-5,2022,2
53,2022-02-23,晴,晴,2,-5,4-5,4-5,2022,2
54,2022-02-24,晴,晴,7,1,4-5,4-5,2022,2
55,2022-02-25,晴,雨夹雪,9,3,4-5,4-5,2022,2
56,2022-02-26,多云,晴,6,2,4-5,4-5,2022,2
