用户ID,彩龄(年),文章数量(篇),双色球专家等级,双色球一等奖次数,双色球二等奖次数,双色球三等奖次数,双色球获奖总次数
1958734,16,4681,高级,3,20,22,45
2379124,9,2228,高级,2,6,11,19
2930378,11,463,中级,0,0,0,0
3098515,20,44,初级,0,0,0,0
2886139,20,365,中级,0,0,1,1
3122717,5,6,初级,0,0,0,0
2901280,15,133,高级,1,0,4,5
2037784,13,2863,天王级,5,14,20,39
3103268,20,6,初级,0,0,0,0
2437623,8,1949,高级,2,2,8,12
2835466,15,564,高级,1,3,3,7
2232902,9,1930,特级,4,6,18,28
1797236,1,2369,高级,0,11,18,29
2998706,13,338,初级,0,0,0,0
758781,8,11798,高级,4,26,24,54
2940702,12,245,中级,0,0,0,0
3055732,6,44,中级,0,1,0,1
2043028,15,1654,高级,3,2,12,17
2336694,20,2372,特级,3,3,10,16
2368156,7,2503,高级,4,4,13,21
1919444,8,3371,高级,4,12,21,37
